RANK,AZIENDA,TASSO DI CRESCITA,RICAVI 2018,RICAVI 2021,SETTORE,REGIONE,PRESENZE,SITO WEB
112,Drop S.r.l. (Drop | e-business & love!),61.624,5685,24001,E-commerce,Marche,,https://www.drop.it
113,BrandUp Group S.p.A.,61.284,1192,5001,"Servizi professionali, scientifici e tecnici",Marche,,https://brandupgroup.it
114,Beccaceci S.r.l.,60.431,2273,9387,Costruzione e ingegneria,Abruzzo,,https://www.beccacecicostruzioni.it
115,Voice S.r.l.,60.198,2119,8712,Pubblicità e marketing,Campania,,https://www.voicesrl.com
116,Mario Aiello S.r.l.,59.948,493,2016,Commercio all'ingrosso,Sicilia,,https://www.vetroeplastica.com/
117,Gest Project General Contractor S.r.l.,59.741,2017,8221,Costruzione e ingegneria,Piemonte,,https://www.gestproject.com
118,Tresun S.r.l.,59.633,559,2274,Energia e servizi pubblici,Sicilia,,https://www.tresun.it
119,Theras Biocare S.r.l.,59.192,7967,32141,"Prodotti farmaceutici, biotecnologie e scienze della vita",Emilia-Romagna,,https://www.theras-group.com
120,Logos Italia S.r.l. (Mendelsohn),58.834,786,3150,Consulenza gestionale,Puglia,,https://www.mendelsohn.it
121,VRMedia S.r.l. (Kiber),58.557,456,1819,IT e software,Toscana,,https://kiber.tech
122,Fenyx Italia S.r.l. (leddiretto.it),58.528,1107,4410,E-commerce,Puglia,,https://www.leddiretto.it
123,Leone S.r.l.,58.122,9096,35961,Smaltimento rifiuti & riciclaggio,Puglia,,http://www.leonemetalli.com
124,Mia S.r.l. (Mia-Platform),58.098,2393,9456,IT e software,Lombardia,,https://mia-platform.eu
125,Conglomerati Bituminosi S.r.l.,57.637,12038,47157,Costruzione e ingegneria,Sardegna,,https://www.conglomerati-bituminosi.it
126,Datlas S.r.l.,57.619,2928,11466,"Servizi professionali, scientifici e tecnici",Lombardia,,https://datlas.it
127,Brandon Group S.r.l.,57.507,9429,36843,E-commerce,Campania,,https://www.brandongroup.it
128,Wakala S.r.l.,57.501,1396,5453,IT e software,Lazio,,https://www.wakala.it
129,Seingim Global Service S.r.l.,57.5,5250,20512,Costruzione e ingegneria,Veneto,,https://www.seingim.it
130,Gallas Group S.r.l.,57.46,1716,6699,Servizi per l'impiego,Friuli-Venezia Giulia,,https://www.gallasgroup.it
131,EdiliziAcrobatica S.p.A.,57.317,21294,82906,Costruzione e ingegneria,Lombardia,,https://ediliziacrobatica.com
132,Martino S.r.l.,57.1,2954,11455,Costruzione e ingegneria,Piemonte,,https://www.carpenteriamartino.com
133,Radar Consulting Italia S.r.l.,56.989,579,2242,"Servizi professionali, scientifici e tecnici",Lombardia,,https://www.radarconsulting.it
134,Pelizzari S.r.l.,56.947,518,2004,Arredamento,Lombardia,,https://www.pelizzari.com
135,negg S.r.l.,56.29,1822,6957,IT e software,Lazio,,https://www.negg.group
136,Allcore S.p.A.,55.962,6934,26306,Consulenza gestionale,Lombardia,,https://www.soluzionetasse.com
137,Longo S.r.l.,55.913,601,2277,Costruzione e ingegneria,Sicilia,,n/a
138,Consorzio Prime Solution Soc. Coop.,55.692,1057,3988,"Servizi professionali, scientifici e tecnici",Emilia-Romagna,,https://consorzioprimesolution.it
139,Sidea Group S.r.l.,55.557,1268,4773,IT e software,Puglia,,https://www.sideagroup.com
140,Ottica Lipari S.r.l.,55.019,696,2592,Vendita al dettaglio,Sicilia,,https://otticalipari.it
141,Present More S.r.l.,54.468,2901,10694,"Prodotti farmaceutici, biotecnologie e scienze della vita",Lombardia,,https://present-more.com
142,Kemikos S.r.l.,54.464,2099,7734,Commercio all'ingrosso,Lombardia,,https://www.kemikos.com
143,MySecretCase S.r.l.,54.439,2050,7551,E-commerce,Lombardia,,https://www.mysecretcase.com
144,VoipVoice S.r.l.,53.732,2181,7924,Media e telecomunicazioni,Toscana,,https://www.voipvoice.it
145,Aleas Cosmetics S.r.l. (La Femme),53.525,465,1681,E-commerce,Marche,,https://www.aleascosmetics.com
146,M.T. Energy S.r.l.,52.971,2863,10249,Energia e servizi pubblici,Lombardia,,https://www.mtenergysrl.com
147,Centro Auto Ricambi S.r.l. (Riparti),52.951,1644,5883,Automotive,Sicilia,,https://officineriparti.it
148,Vincenzo Fagioli S.r.l.,52.682,1010,3594,Smaltimento rifiuti & riciclaggio,Marche,,https://www.vincenzofagioli.it
149,WR57 S.r.l.,52.192,6192,21829,Costruzione e ingegneria,Emilia-Romagna,,https://wr57.it
150,Increso S.r.l.,52.151,962,3390,"Servizi professionali, scientifici e tecnici",Lazio,,https://increso.it
151,Archiplan S.r.l.,51.88,2816,9866,Costruzione e ingegneria,Lazio,,https://www.archiplan-srl.it
152,Studio Temporary Manager S.p.A. (STM),51.724,1356,4735,Consulenza gestionale,Veneto,,https://www.temporarymanager.info
153,Gruppo Europeo di Ortodonzia S.r.l. (Nuvola),51.703,2202,7689,Servizi sanitari e sociali,Lazio,,https://www.nuvolaortodonzia.it
154,Westrafo S.r.l.,51.624,7527,26238,Energia e servizi pubblici,Veneto,,https://www.westrafo.com
155,Instilla S.r.l.,51.419,922,3201,Pubblicità e marketing,Lombardia,,https://www.instilla.it
156,Déco S.p.A.,51.371,5810,20151,Arredamento,Lombardia,,https://www.decodecking.it
157,L&B Partners S.p.A.,51.217,5724,19793,Energia e servizi pubblici,Lombardia,,https://lbpartners.it
158,LC&Partners Project Management and Engineering S.r.l.,50.935,1470,5056,Consulenza gestionale,Lombardia,,https://www.lcandpartners.com/
159,WIT S.r.l.,50.393,680,2314,"Fintech, servizi finanziari e assicurazioni",Lombardia,,https://wit-italy.com
160,Falcor S.r.l.,50.127,1372,4643,Produzione industriale,Lombardia,,https://www.falcorpresse.it
161,Contents S.p.A.,49.561,631,2111,Media e telecomunicazioni,Lombardia,,https://www.contents.com
162,Farmaè S.p.A.,49.296,24786,82481,E-commerce,Toscana,,https://www.farmae.it
163,Lazzari Macchine Utensili S.r.l.,49.261,826,2748,Produzione industriale,Lombardia,,https://www.lazzarimacchine.it
164,Openapi S.r.l.,48.939,1338,4421,IT e software,Lazio,,https://openapi.it
165,Etracom S.r.l. (Materassiedoghe),48.599,5552,18216,E-commerce,Lombardia,,https://www.materassiedoghe.eu
166,Promotergroup S.p.A,48.291,644,2100,Consulenza gestionale,Lazio,,https://www.promotergroup.eu
167,Bluethink S.p.A.,48.291,1394,4546,Costruzione e ingegneria,Piemonte,,https://www.bluethink.it
168,Zara S.r.l. (Zara Imballaggi Fabriano),48.146,1306,4245,Produzione industriale,Marche,,https://www.zaraimballaggi.com
169,Nord Est Elevatori S.r.l.,48.144,2364,7686,Macchinari e attrezzature,Veneto,,https://www.nordestelevatori.com
170,Team Work S.r.l.,47.848,10564,34140,Logistica e trasporto,Piemonte,,n/a
171,Pasqualone S.r.l.,47.537,1215,3901,Macchinari e attrezzature,Calabria,,https://pasqualone.linde-mh.it
172,Zanasi Group S.r.l.,47.47,15841,50805,Automotive,Emilia-Romagna,,https://www.zanasigroup.com
173,Unidata S.p.A.,47.452,11542,37002,Media e telecomunicazioni,Lazio,,https://www.unidata.it
174,I.G.L.M. Electronic S.r.l. (IGLM.Store),47.083,3701,11776,E-commerce,Campania,,https://www.iglm.store
175,Ames Centro Polidiagnostico Strumentale S.r.l.,46.956,14500,46018,Servizi sanitari e sociali,Lombardia,,http://www.centroames.it
176,Italy Car Rent S.r.l.,46.87,4823,15279,Logistica e trasporto,Trentino-Alto Adige,,https://www.italycarrent.com
177,GDA S.r.l.,46.792,8313,26294,Abbigliamento e moda,Puglia,,https://www.decorartex.com
178,Next Turbo Technologies S.p.A.,46.551,3472,10929,Produzione industriale,Lombardia,,https://www.next-turbo.com
179,Serre S.r.l.,46.373,5049,15835,Cibo e bevande,Veneto,,https://proseccoserre.com
180,Monogrid S.r.l.,46.35,769,2412,IT e software,Toscana,,https://mono-grid.com
181,Allways Logistics System S.r.l.,45.945,4190,13026,Logistica e trasporto,Emilia-Romagna,,https://allwayslogistic.com
182,TrenDevice S.p.A.,45.94,5089,15817,E-commerce,Lombardia,,https://www.trendevice.com
183,Wikicasa S.r.l.,45.787,580,1796,IT e software,Lombardia,,https://www.wikicasa.it
184,Mint Italia S.r.l.,45.337,1344,4127,Logistica e trasporto,Toscana,,https://www.mintitalia.com
185,Tservice S.p.A.,45.256,16790,51459,Logistica e trasporto,Lombardia,,https://tservicespa.com
186,3E Studio S.r.l.,45.137,2168,6629,"Servizi professionali, scientifici e tecnici",Veneto,,https://www.3estudio.eu
187,Dils S.p.A.,45.087,16008,48890,Beni immobili,Lombardia,,https://dils.com
188,Social & Impact S.r.l. SB,45.076,994,3034,Pubblicità e marketing,Lazio,,http://www.lucalamesa.com
189,B1gas S.p.A.,45.042,18635,56862,Energia e servizi pubblici,Lazio,,https://www.b1gas.it
190,Cargo Europe Department (CED),44.879,2249,6838,Logistica e trasporto,Sicilia,,https://www.cargoeuropedepartment.com
191,Buildo S.r.l.,44.552,1548,4674,IT e software,Emilia-Romagna,,https://www.buildo.io
192,Cura Farma S.r.l.,44.528,1223,3692,E-commerce,Campania,,https://www.curafarma.it
193,ATI Project S.r.l.,44.305,6006,18047,Costruzione e ingegneria,Toscana,,https://atiproject.com
194,ccelera S.r.l.,44.258,4183,12556,IT e software,Veneto,,https://www.ccelera.com
195,Kredias S.p.A.,44.112,651,1949,"Fintech, servizi finanziari e assicurazioni",Puglia,,https://www.kredias.it
196,Join Business Management Consulting S.r.l.,44.019,3832,11446,Consulenza gestionale,Toscana,,https://www.joinbusinessmc.com
197,MP-Auto S.r.l.,44,1549,4624,Automotive,Lombardia,,https://www.mp-auto.it
198,International Transport Solution S.r.l. (ITS),43.911,5356,15965,Logistica e trasporto,Campania,,https://itssrl.eu
199,Autostandar 2.0 S.r.l.,43.593,7132,21115,Automotive,Piemonte,,https://www.autostandar.it
200,LMM Logistics S.p.A.,43.232,6505,19116,Logistica e trasporto,Piemonte,,https://lmmlogistics.com
201,Maxfel S.r.l.,42.874,1273,3712,Arredamento,Veneto,,https://maxfelsrl.it
202,Green Team S.r.l.,42.784,1302,3789,Energia e servizi pubblici,Piemonte,,http://www.greenteamsrl.com
203,Yocabè S.r.l.,42.558,1903,5512,E-commerce,Puglia,,https://www.yocabe.com
204,Scuccato S.A. S.r.l.,41.977,1521,4353,Costruzione e ingegneria,Lazio,,https://www.grupposcuccato.it
205,Blu S.r.l. (Blu - Il buono),41.963,13994,40038,Cibo e bevande,Puglia,,https://www.blufoodbroker.it
206,Flazio.com,41.812,548,1562,IT e software,Sicilia,,https://www.flazio.com
207,Secret Key S.r.l.,41.764,885,2521,Pubblicità e marketing,Lazio,,https://www.secretkey.it
208,Mulan Group,41.569,3185,9036,Cibo e bevande,Lombardia,,https://mulangroup.it
209,Sitem S.r.l.,41.427,2621,7415,Produzione industriale,Emilia-Romagna,,https://www.sitemelettromeccanica.it
210,StampaSi S.r.l.,41.419,1576,4458,E-commerce,Lombardia,,https://www.stampasi.it
211,Innova HTS S.r.l.,41.388,4858,13731,"Prodotti farmaceutici, biotecnologie e scienze della vita",Lombardia,,https://www.innovahts.com
212,Freedom in Sales S.r.l.,41.26,4505,12699,Logistica e trasporto,Lombardia,,http://www.freedominsales-fis.it
213,MGvision S.r.l.,41.037,1412,3960,Pubblicità e marketing,Lazio,,https://www.mgvision.com
214,Dynamicom Education S.r.l.,40.768,4547,12683,Formazione,Lombardia,,https://dynamicomeducation.it
215,Nemesi Italia S.r.l.,40.559,600,1667,IT e software,Lombardia,,https://nemesitalia.it
216,Arpe Group S.r.l.,40.502,1326,3677,Consulenza gestionale,Lombardia,,https://www.arpegroup.it
217,Time Vision S.c.a.r.l,40.302,1872,5169,Formazione,Campania,,https://www.timevision.it
218,Tikato S.r.l. (Discoup.com),40.279,1093,3018,Pubblicità e marketing,Veneto,,https://www.discoup.com
219,Blue Ocean Finance S.p.A.,40.154,563,1550,Consulenza gestionale,Lazio,,https://www.blueoceanfinance.it
220,GS Service S.r.l. (GS Studio & Service),40.095,1038,2853,Energia e servizi pubblici,Lombardia,,http://www.gs-service.it
221,Stufe a pellet italia S.r.l.,40.093,2095,5761,E-commerce,Veneto,,https://www.stufeapelletitalia.com
222,Consorzio Stabile Agoraa S.c.a.r.l.,39.743,7898,21553,Costruzione e ingegneria,Sicilia,,https://www.agoraa.it
223,Morpheus Advisor S.r.l. (AP Italian Luxury),39.316,2451,6627,Abbigliamento e moda,Toscana,,https://apitalianluxury.com
224,Seriana Edilizia S.r.l.,39.312,4527,12239,Costruzione e ingegneria,Lombardia,,https://www.serianaedilizia.it
225,Maxxi Engineering S.r.l.,39.246,1215,3280,Costruzione e ingegneria,Sardegna,,https://www.maxxiengineering.it
226,Finauto S.p.A.,39.245,5521,14906,Automotive,Toscana,,https://www.finautoprato.it
227,GTProject S.r.l.,39.241,5044,13617,Logistica e trasporto,Campania,,https://gtpcourier.it
228,MM Operations S.r.l.,39.194,18467,49805,Logistica e trasporto,Emilia-Romagna,,https://mmoperations.it
229,La Rosa dei Venti - Società cooperativa di servizi,39.118,2286,6156,Logistica e trasporto,Lazio,,http://www.rosadeiventi.info
230,Tecnomacchine S.r.l.,38.818,3431,9177,Macchinari e attrezzature,Toscana,,https://www.venditaescavatori.it
231,Consorzio ART.E.A. Alto Vicentino,38.742,1515,4045,Costruzione e ingegneria,Veneto,,https://www.consorzioartea.it
232,osteocom.net S.r.l.,38.711,911,2433,Formazione,Emilia-Romagna,,https://www.osteocom.me
233,Calicantus S.r.l.,38.681,3822,10194,Pubblicità e marketing,Veneto,,https://calicant.us
234,A.C.G. S.p.A.,38.651,20625,54976,Costruzione e ingegneria,Emilia-Romagna,,https://www.acg-spa.com
235,FiloBlu S.p.A.,38.425,28298,75059,Consulenza gestionale,Veneto,,https://filoblu.com
236,Benefind S.r.l.,38.367,959,2541,IT e software,Toscana,,https://www.benefind.it
237,Gruppo PLT Energia,38.077,41901,110305,Energia e servizi pubblici,Emilia-Romagna,,https://www.pltenergia.it
238,Fattidigrano S.r.l.,38.011,1619,4255,Cibo e bevande,Lombardia,,https://www.fattidigrano.it
239,Enhancers S.p.A.,37.888,1953,5120,IT e software,Piemonte,,https://enhancers.it
240,Pomilio Blumm S.r.l.,37.683,17878,46663,Pubblicità e marketing,Abruzzo,,https://pomilioblumm.eu
241,C&P S.r.l.,37.61,5584,14552,"Servizi professionali, scientifici e tecnici",Piemonte,,https://www.candp.it
242,Veradent Clinic S.r.l. a socio unico,37.583,1127,2934,Servizi sanitari e sociali,Lombardia,,https://www.veradentclinic.it
243,Phase S.r.l.,37.346,916,2373,IT e software,Veneto,,https://www.phasemes.it
244,Gummy industries S.r.l.,37.309,1080,2797,Pubblicità e marketing,Lombardia,,https://gummyindustries.com
245,IM-EL Osasio S.r.l.,37.117,2343,6039,Energia e servizi pubblici,Piemonte,,https://www.imelosasio.it
246,Time S.r.l.,37.039,1470,3782,Produzione industriale,Toscana,,https://www.timesrl.it
247,Sirive S.r.l.,36.726,3279,8380,Macchinari e attrezzature,Veneto,,https://www.sirive.it
248,Agricola Puccia S.r.l,36.69,6536,16692,"Agricoltura, silvicoltura e pesca",Sicilia,,https://www.agricolapuccia.com
249,Auxiell S.p.A.,36.617,3126,7970,Consulenza gestionale,Veneto,,https://www.auxiell.com
250,Reparo S.r.l. (Latterie di Sardegna®),36.589,9327,23767,Cibo e bevande,Sardegna,,https://www.latteriedisardegna.com
251,Visualitics S.r.l.,36.428,1157,2938,IT e software,Piemonte,,https://www.visualitics.it
252,Synesthesia S.r.l. SB,36.208,3125,7898,IT e software,Piemonte,,https://synesthesia.it
