RANK,AZIENDA,TASSO DI CRESCITA,RICAVI 2014,RICAVI 2017,SETTORE,REGIONE,PRESENZE,SITO WEB
24,Fb.M. S.r.l.,119.886,498,5296,Servizi generali,Puglia,,www.fbmsrl.net
25,Upgrade S.r.l.,119.301,223,2349,Pubblicità & marketing,Campania,,www.upgrademedia.it
26,Tecnoprogetti S.r.l.,119.178,569,5988,Costruzioni & impiantistica,Lombardia,,www.tecnoprogetti.org
27,Machines Broker S.r.l.,118.991,150,1578,Vendita al dettaglio & all'ingrosso,Sicilia,,www.machinesbroker.it
28,Progetto Olimpo Soc.Coop. P.A.,117.373,890,9143,Vendita al dettaglio & all'ingrosso,Sicilia,,www.centroolimpopalermo.it
29,Web Stars Channel S.r.l.,117.082,358,3665,Pubblicità & marketing,Lombardia,,www.webstarschannel.it
30,Vetrocar & Bus S.p.A.,116.158,1858,18765,Automobili,Veneto,,www.vetrocar.it
31,Synapsy S.r.l.,114.766,585,5795,Pubblicità & marketing,Lombardia,,www.synapsy.events
32,Canadian School Of Milan,114.261,248,2442,Istruzione & formazione,Lombardia,,www.canadianschool.it
33,Treesystem S.r.l.,114.206,316,3106,Energia,Veneto,,www.treesystem.it
34,Kiara Bijoux S.r.l.,111.706,665,6309,Metalli preziosi,Veneto,,www.kiarabijoux.com
35,Roberto Demeglio S.p.A.,110.153,863,8007,Vendita al dettaglio & all'ingrosso,Piemonte,,www.robertodemeglio.it
36,Elettro Tlc S.r.l.,109.538,1000,9200,Telecomunicazioni,Umbria,,www.elettrotlc.it
37,Geodem-Ambiente S.r.l. A Socio Unico,108.308,1005,9084,Costruzioni & impiantistica,Veneto,,www.geodem-ambiente.it
38,Over The Lux S.r.l.,107.964,369,3316,Viaggi & tempo libero,Lombardia,,www.overthelux.com
39,L.G. S.r.l.,106.938,423,3751,Alimentari & bevande,Puglia,,www.lgsurgelati.it
40,Easypharm S.r.l.,106.916,185,1640,Farmaceutica,Lombardia,,www.easypharma.com
41,Farmacosmo S.r.l.,106.326,1631,14329,E-commerce,Campania,,www.farmacosmo.it
42,Alkemilla Eco Bio Cosmetic S.r.l.,104.332,231,1972,E-commerce,Puglia,,www.alkemillacosmetici.it
43,For Dealer S.r.l.,103.638,227,1914,Automobili,Lazio,,www.4dealer.it
44,Your Personal S.r.l.,103.449,190,1600,Trasporti & logistica,Lazio,,www.yourpersonaljames.com
45,Amm,103.386,617,5188,Difesa & Aerospaziale,Lombardia,,www.ammitaly.com
46,C.D.V.S.r.l.,103.083,203,1704,Sanità,Valle d'Aosta,,www.centrodentalevaldostano.it
47,T.I.P. S.r.l.,102.244,2021,16715,Energia,Umbria,,www.tiptrading.it
48,Five Motors S.r.l.,101.615,5307,43493,Automobili,Puglia,,www.fivemotors.it
49,Prestige Group S.r.l.,101.379,6000,49000,Telecomunicazioni,Puglia,,www.prestigegroup.it
50,La Saponaria S.r.l.,99.383,307,2430,Bellezza & igiene,Marche,,www.lasaponaria.it
51,Ve.Ma. - Società Cooperativa Di Servizi,98.274,276,2150,Pubblicità & marketing,Sicilia,,n/a
52,Travisanutto Giovanni S.r.l.,98.23,399,3110,Architettura,Friuli Venezia Giulia,,www.travisanutto.com
53,Marco Polo Foodex,94.985,937,6945,Alimentari & bevande,Emilia Romagna,,www.mpfoodex.it
54,Carpenteria Vally,94.237,279,2041,Prodotti industriali,Emilia Romagna,,www.carpenteriavally.it
55,Geo Pluriservice S.r.l.,93.643,307,2226,Servizi generali,Lombardia,,www.geopluriservice.it
56,Marfreight S.r.l.,93.597,283,2055,Trasporti & logistica,Campania,,www.marfreight.com
57,Panizzo S.r.l.,92.616,394,2812,Prodotti industriali,Veneto,,www.panizzostampi.it
58,Car Max S.r.l.,91.149,269,1878,Automobili,Campania,,www.carmaxsrl.com
59,Imprecom S.r.l.,91.122,701,4896,Costruzioni & impiantistica,Lombardia,,www.imprecomsrl.com
60,Milano Fresh S.r.l.,90.282,489,3369,Prodotti agricoli,Lombardia,,www.milanofresh.it
61,Elastica S.r.l.,89.847,420,2874,Viaggi & tempo libero,Emilia Romagna,,www.elastica.eu
62,Genius Progetti S.r.l.,89.773,1165,7959,Servizi generali,Emilia Romagna,,www.geniusprogetti.it
63,Freedom In Sales S.r.l.,89.549,610,4151,Trasporti & logistica,Lombardia,,www.freedominsales-fis.it
64,Nwg Energia S.r.l.,88.993,7345,49582,Energia,Toscana,,www.nwgitalia.it
65,Caffeina S.r.l.,88.425,703,4705,Pubblicità & marketing,Emilia Romagna,,www.caffeina.com
66,Furlan Retail S.r.l.,86.471,407,2638,Immobiliare,Veneto,,www.furlancontract.it
67,Tecnomacchine S.r.l.,85.761,448,2870,Prodotti industriali,Toscana,,www.venditaescavatori.it
68,Like More Italia S.r.l.,85.605,586,3746,Alimentari & bevande,Veneto,,www.likemoreitalia.com
69,Coppola Industria Alimentare S.r.l.,85.489,332,2117,Alimentari & bevande,Campania,,www.coppolafoodsgroup.com
70,Ellemoda S.r.l.,84.7,601,3787,E-commerce,Lazio,,www.pianetaoutlet.it
71,Ser Marco S.r.l. Unipersonale,84.382,377,2361,Alimentari & bevande,Piemonte,,www.sermarco.it
72,Emilia Foods S.r.l.,84.262,1323,8279,Alimentari & bevande,Emilia Romagna,,www.emiliafoods.it
73,Augusta Ratio S.p.A.,82.595,19341,117746,Energia,Lombardia,,www.augustaratio.com
74,E-Novia S.p.A.,82.343,878,5322,Servizi generali,Lombardia,,www.e-novia.it
75,Futura S.r.l. Società Uninominale,81.845,404,2427,Consulenza aziendale,Marche,,www.futurasmartgrid.it
76,M.C.I. S.r.l. A Socio Unico,80.785,3011,17791,Trasporti & logistica,Campania,,www.mcisrl.eu
77,Terma Energia S.r.l.,79.645,598,3464,Costruzioni & impiantistica,Lombardia,,www.termaenergia.it
78,F.lli Denaro S.r.l.,79.05,1134,6509,Vendita al dettaglio & all'ingrosso,Sicilia,,www.fllidenarosrl.it
79,Creative-Cables S.r.l. Unipersonale,78.618,717,4145,Vendita al dettaglio & all'ingrosso,Piemonte,,www.creative-cables.com
80,Cast Group S.r.l. Unipersonale,78.302,411,2327,Prodotti agricoli,Veneto,,www.cast-group.it
81,Hicmobile S.r.l.,78.257,414,2345,Pubblicità & marketing,Lombardia,,www.hicmobile.com
82,Iniziative Comuni S.c.a.r.l.,76.756,1753,9682,Trasporti & logistica,Abruzzo,,www.sgbholding.it
83,Hifuture S.r.l.,75.534,530,2867,Tecnologia,Lombardia,,www.hifuture.eu
84,Sassi Editore S.r.l.,75.403,908,4900,Media,Veneto,,www.sassijunior.com
85,QS Group Srl Unipersonale,75.354,624,3367,Servizi generali,Lombardia,,www.qsgroup.it
86,Wellynx S.r.l.,75.136,342,1838,Energia,Abruzzo,,www.wellynx.com
87,Velvet Media Italia S.r.l.,75.011,328,1759,Pubblicità & marketing,Veneto,,www.velvetmedia.itit
88,City Motors S.r.l.,74.592,4776,25419,Automobili,Lombardia,,www.citymotors.it
89,Porcamo S.r.l.,74.459,589,3125,E-commerce,Campania,,www.isuit.it
90,Tor.Mec Ambrosi S.r.l.,73.274,1700,8844,Prodotti industriali,Veneto,,www.tormec.com
91,General Service S.r.l.,73.025,477,2473,Prodotti industriali,Campania,,www.general-service.eu
92,Mgm Robotics S.r.l.,71.529,612,3090,Tecnologia,Piemonte,,www.mgmrobotics.it
93,Domino Creations S.r.l.,71.253,427,2144,Vendita al dettaglio & all'ingrosso,Marche,,www.promojeans.it
94,Utensilveneta S.r.l.,71.089,381,1909,Vendita al dettaglio & all'ingrosso,Veneto,,www.utensilveneta.it
95,House To House S.p.A.,70.996,1889,9446,Vendita al dettaglio & all'ingrosso,Veneto,,www.housetohouse.eu
96,Sos Tariffe S.r.l.,70.773,1517,7554,Servizi generali,Lombardia,,www.sostariffe.it
97,Seren Automobili S.r.l.,70.321,629,3107,Automobili,Veneto,,www.serenautomobili.it
98,Inrete S.r.l.,70.228,883,4353,Consulenza aziendale,Lombardia,,www.in-rete.net
99,7Layers S.r.l.,69.912,1079,5292,Tecnologia,Toscana,,www.7layers.it
100,Signor Prestito S.p.A.,69.804,3937,19275,Servizi finanziari,Veneto,,www.signorprestito.it
101,Babe S.r.l.,68.912,664,3200,Vendita al dettaglio & all'ingrosso,Lazio,,www.babeweb.it
102,Antigua Tazzadoro S.r.l.,68.71,339,1630,Alimentari & bevande,Lazio,,www.tazzadorocoffeeshop.com
103,Carmela Di Caro S.r.l. Unipersonale,68.567,1032,4943,Alimentari & bevande,Sicilia,,www.oliodicaro.com
104,Giglio.Com S.r.l.,68.518,1940,9284,E-commerce,Lombardia,,www.giglio.com
105,Fbg S.r.l.,68.469,1121,5361,Prodotti industriali,Lombardia,,www.blendplants.com
106,Afinna One,67.779,13728,64836,Telecomunicazioni,Lazio,,www.afinnaone.com
107,3C S.r.l.,67.54,2074,9751,Automobili,Emilia Romagna,,www.3csrl.com
108,Filoblu S.p.A.,67.156,4175,19500,Consulenza aziendale,Veneto,,www.filoblu.com
109,Ate System S.r.l.,67.085,560,2613,Tecnologia,Friuli Venezia Giulia,,www.atesystem.it
110,Podium Advanced Technologies/Podium Engineering S.r.l.,66.02,493,2254,Automobili,Valle d'Aosta,,www.podium-tech.com
111,G.C.Costruzioni S.r.l.,65.811,494,2252,Costruzioni & impiantistica,Veneto,,n/a
112,Agricollibio S.r.l.,65.56,3333,15125,Alimentari & bevande,Lazio,,www.agricolli.bio
113,Tecnogiardini S.r.l.,64.834,482,2160,Servizi generali,Emilia Romagna,,www.tecnogiardini.it
114,Autovia S.r.l.,64.01,3400,15000,Viaggi & tempo libero,Trentino Alto Adige,,www.autovia.it
115,Selectus S.r.l.,63.995,820,3618,Alimentari & bevande,Puglia,,www.selectus-italia.it
116,Dimensione Eventi S.r.l.,63.583,931,4075,Viaggi & tempo libero,Piemonte,,www.dimensioneeventi.it
117,Consorzio Italiano Strade E Ambiente,62.657,535,2303,Servizi generali,Emilia Romagna,,www.consorzio-cisa.it
118,Vpf S.r.l.,62.017,870,3700,Costruzioni & impiantistica,Puglia,,www.vpfcase.com
119,Fiordelmondo Lubrificanti S.r.l.,62,904,3843,Prodotti industriali,Marche,,www.fiordelmondolubrificanti.it
120,Esergetica S.r.l.,60.911,1937,8071,Energia,Veneto,,www.esergetica.it
121,Santeria S.r.l.,60.845,652,2714,Viaggi & tempo libero,Lombardia,,www.santeria.milano.it
122,Laca Trade S.r.l.,60.275,2355,9695,Bellezza & igiene,Toscana,,www.lacatrade.com
123,Ghilardi Selezioni S.r.l.,60.076,492,2020,Alimentari & bevande,Lombardia,,www.ghilardiselezioni.com
124,Blue Shark S.r.l.,60.033,3424,14034,Costruzioni & impiantistica,Sardegna,,www.bshark.it
125,Corvino Impianti S.r.l.,59.638,563,2291,Tecnologia,Campania,,www.corvinoimpianti.it
126,Protection Security S.r.l.,59.147,797,3213,Servizi generali,Puglia,,www.pegasosecurity.it
127,Workinprogress Italia S.r.l.,58.475,597,2377,Architettura,Lombardia,,www.workinprogressitalia.it
128,Iris Società Cooperativa Sociale,58.398,493,1958,Servizi generali,Puglia,,www.csiris.org
129,Utopia Lab S.r.l.,58.197,580,2296,Consulenza aziendale,Lazio,,www.utopialab.it
130,Quickcom S.r.l.,58.135,473,1869,Telecomunicazioni,Trentino Alto Adige,,www.quickcom.it
131,Isol Sistem S.r.l.,57.472,988,3857,Costruzioni & impiantistica,Lombardia,,www.isolsistemsrl.net
132,Albertani S.r.l.,57.24,419,1627,Costruzioni & impiantistica,Piemonte,,www.albertanicasa.com
133,Eco-Italy Società Agricola Cooperativa,57.216,6462,25111,Alimentari & bevande,Abruzzo,,n/a
134,Lventure Group S.p.A.,57.169,624,2424,Servizi finanziari,Lazio,,www.lventuregroup.com
135,Predict,56.792,921,3550,Sanità,Puglia,,www.predictweb.it
136,Scalia Group S.r.l.,56.746,672,2587,Vendita al dettaglio & all'ingrosso,Sicilia,,www.scaliagroup.com
137,Air Innovation S.r.l.,56.44,472,1808,Costruzioni & impiantistica,Emilia Romagna,,www.air-innovation.it
138,Bagheera Italia S.r.l.,56.411,1579,6042,Moda,Lazio,,www.bagheeraboutique.com
139,Homemania S.r.l.,56.369,1563,5976,E-commerce,Lombardia,,www.homemania.net
140,Florenradica S.r.l.,56.15,425,1617,Moda,Toscana,,www.florenradica.it
141,Saimex S.r.l.,56.086,672,2556,Prodotti industriali,Lombardia,,www.saimex.it
142,Mdt Group S.r.l.,55.869,554,2097,Servizi generali,Lazio,,www.bestink.it
143,Link Soluzioni S.r.l.,55.764,458,1732,Servizi finanziari,Veneto,,www.linksoluzioni.it
144,Interni Italiani S.r.l.,55.744,1247,4709,Architettura,Lazio,,www.interniitaliani.com
145,Logisan S.P.A,55.413,6530,24512,Sanità,Toscana,,www.logisan.com
146,Progetto S.r.l.,55.147,1256,4692,Arredamento,Toscana,,www.laprogetto.it
147,Deghi S.p.A.,54.809,6900,25600,E-commerce,Puglia,,www.deghishop.it
148,Infomobility.It S.p.A.,54.796,2396,8887,Tecnologia,Abruzzo,,www.infomobility.it
149,Digitalmind S.r.l.,54.717,719,2661,Pubblicità & marketing,Veneto,,www.digitalmind.it
150,Teicos Ue S.r.l.,54.378,1102,4054,Costruzioni & impiantistica,Lombardia,,www.teicosgroup.com
151,Gruppo M S.r.l.,54.17,14743,54023,Automobili,Emilia Romagna,,www.lexus-bologna.it
152,Interiors Idea S.r.l.,53.922,2503,9128,Arredamento,Puglia,,www.interiorsidea.it
153,Cosmei S.r.l.,53.693,1733,6292,Bellezza & igiene,Lombardia,,www.cosmei.it
154,Alternatyva S.r.l.,53.459,1567,5663,Telecomunicazioni,Lazio,,www.alternatyva.it
155,Trapizzino S.r.l.,53.233,852,3066,Ristoranti,Lazio,,www.trapizzino.it
156,Global Marketing S.r.l.,53.006,445,1596,Prodotti industriali,Puglia,,www.globalmarketingsrl.com
157,Innovasoft S.p.A.,52.954,686,2454,Servizi generali,Veneto,,www.innovasoftspa.it
158,Staff S.p.A.,52.856,28461,101646,Servizi generali,Lombardia,,www.staff.it
159,Tenso Floor S.r.l.,52.591,769,2734,Costruzioni & impiantistica,Lombardia,,www.teknachemgroup.com
160,The Italian Decking Company S.r.l. (Déco S.r.l.),52.488,1301,4613,Arredamento,Lombardia,,www.decodecking.it
161,Gandolfi International Trading S.r.l.,52.302,11262,39787,Alimentari & bevande,Emilia Romagna,,www.gandolfiparma.com
162,Young Digitals S.p.A.,52.274,805,2843,Pubblicità & marketing,Veneto,,www.youngdigitals.com
163,Duetti Packaging S.r.l.,52.086,3852,13551,Prodotti industriali,Veneto,,www.duettipackaging.com
164,Takiston S.r.l.,51.523,875,3044,Moda,Emilia Romagna,,www.tstudiotherapy.com
165,Clabrun S.r.l.,51.364,1433,4971,Vendita al dettaglio & all'ingrosso,Puglia,,www.clabrun.it
166,Doveconviene - Shopfully International Group,51.098,4207,14512,Pubblicità & marketing,Sardegna,,www.doveconviene.it
167,Laboratorio Di Analisi Veterinarie Lavallonea S.r.l.,50.832,869,2981,Sanità,Puglia,,www.laboratoriolavallonea.net
168,Effegi Service Group S.r.l.,50.69,709,2425,Servizi generali,Lombardia,,www.effegiservicegroup.com/it
169,Viver Distribuzione S.r.l.,50.076,632,2135,Alimentari & bevande,Veneto,,www.viverdistribuzione.it
170,Consorzio Delle Tecnologie S.C.C.,50.016,1157,3905,Tecnologia,Campania,,www.consorziodelletecnologie.it
171,P.Parma S.r.l.,49.813,990,3328,Prodotti industriali,Lombardia,,www.parmastampi.it
172,Getconnected S.r.l.,49.574,1132,3787,Tecnologia,Emilia Romagna,,www.getconnected.it
173,RE.I.M. S.r.l.,48.886,1995,6585,Costruzioni & impiantistica,Campania,,www.reimsrl.webstarts.com
174,Thinkopen S.r.l.,48.515,1883,6168,Tecnologia,Lombardia,,www.thinkopen.it
175,Gioielleria Duca S.r.l.,48.053,840,2725,Vendita al dettaglio & all'ingrosso,Lazio,,www.duca1962.com
176,Peragnoli Auto S.r.l.,47.694,4347,14004,Automobili,Toscana,,www.peragnoliauto.com
177,S.E.I.M.A. S.r.l.,46.713,607,1916,Costruzioni & impiantistica,Liguria,,www.seimacostruzioni.it
178,Allianceinsay Broker S.p.A.,46.593,1019,3210,Assicurazioni,Lazio,,www.allianceinsay.it
179,Synesthesia S.r.l.,45.586,811,2504,Tecnologia,Piemonte,,www.synesthesia.it
180,Mutuisi S.r.l.,45.549,605,1865,Servizi finanziari,Lombardia,,www.mutuisi.it
181,Man Buildings S.r.l.,45.418,2435,7488,Costruzioni & impiantistica,Emilia Romagna,,www.manbuildings.com
182,Roversi Cesare Arredamenti S.r.l. Unipersonale,44.585,1662,5023,Arredamento,Lombardia,,www.roversi.it
183,Finlibera S.p.A.,44.553,1070,3233,Immobiliare,Lombardia,,www.finlibera.it
184,T'A Milano S.r.l.,43.371,1762,5193,Alimentari & bevande,Lombardia,,www.tamilano.com
185,Join Business Management Consulting S.r.l.,43.265,1064,3129,Consulenza aziendale,Toscana,,www.joinbusinessmc.com
186,Gruppo Toscano Spedizioni S.r.l.,43.014,1178,3446,Trasporti & logistica,Toscana,,www.gruppotoscanospedizioni.it
187,Centro Medico Santagostino,42.644,8200,23800,Sanità,Lombardia,,www.cmsantagostino.it
188,Simeto Costruzioni S.r.l.,42.004,624,1787,Costruzioni & impiantistica,Sicilia,,n/a
189,S.P.L. Soc. Coop A.R.L.,41.995,1527,4372,Automobili,Marche,,www.espositoribottiglie.it
190,Impresa Percassi S.p.A.,41.482,21503,60898,Costruzioni & impiantistica,Lombardia,,www.impresapercassi.it
191,Csp S.r.l.,41.233,999,2813,Tecnologia,Emilia Romagna,,www.centrosviluppoprogetti.it
192,Bilingual British School S.r.l.,41.162,634,1784,Istruzione & formazione,Lombardia,,www.bbschool.it
193,Consecution Group S.r.l.,41.148,1375,3865,Automobili,Lombardia,,www.consecution.it
194,Perusia Vitrum S.r.l.,40.669,598,1664,Prodotti industriali,Umbria,,www.perusiavitrum.com
195,Upline S.r.l.,40.633,776,2160,Servizi generali,Lombardia,,www.up-line.it
196,Nexteria S.r.l.,40.538,2871,7970,Consulenza aziendale,Lombardia,,www.nexteria.it
197,Shine S.r.l.,40.502,598,1658,Prodotti industriali,Emilia Romagna,,www.shineitalia.com
198,Materia Prima S.r.l.,39.928,1222,3349,Servizi generali,Lombardia,,www.materia1a.it
199,Webranking,39.872,4022,11007,Pubblicità & marketing,Emilia Romagna,,www.webranking.it
200,Nce S.r.l.,39.697,1491,4066,Servizi generali,Lombardia,,www.nce-consulting.com
201,Metalvenice S.r.l.,39.032,1279,3436,Automobili,Veneto,,www.metalvenice.it
202,Olibar S.r.l.,38.937,7228,19386,Alimentari & bevande,Lombardia,,www.foodness.it
203,Tailoradio S.r.l.,38.897,663,1776,Tecnologia,Lombardia,,www.tailoradio.it
204,Logistica Cannistrà S.r.l.,38.724,1398,3731,Trasporti & logistica,Sicilia,,www.cannistra.info
205,Temera S.r.l.,38.557,2303,6126,Tecnologia,Toscana,,www.temera.it
206,Dovevivo S.p.A.,38.516,5765,15322,Immobiliare,Lombardia,,www.dovevivo.it
207,Marypoppins Scs,38.402,886,2350,Istruzione & formazione,Piemonte,,www.coopmarypoppins.eu
208,Grafos Steel S.r.l.,38.366,2050,5430,Prodotti industriali,Emilia Romagna,,www.grafossteel.it
209,Ca.Pri S.r.l.,38.126,3828,10087,Ristoranti,Piemonte,,www.villacrespi.it
210,Eurolink Systems S.r.l.,37.649,2050,5347,Tecnologia,Lazio,,www.eurolinksystems.com
211,Green Way Co. S.r.l.,37.513,1858,4831,Prodotti industriali,Liguria,,www.greenwayco.eu
212,Andalsystem S.r.l.,37.329,711,1841,Prodotti industriali,Calabria,,www.andalsystem.it
213,Casta S.r.l.,37.102,9360,24121,Prodotti industriali,Puglia,,www.castasrl.it
214,Magnetic Media Network S.p.A.,36.647,13805,35225,Tecnologia,Lombardia,,www.mmn.it
215,Omnia Secura Servizi S.r.l.,36.06,2891,7281,Servizi generali,Lombardia,,www.osservizi.com
216,Citynews S.p.A.,36.017,3398,8551,Media,Campania,,www.citynews.it
217,Societa Agricola Divano S.r.l.,35.647,834,2081,Alimentari & bevande,Campania,,www.divanosrl.it
218,Nope S.r.l.,35.458,5159,12823,Prodotti industriali,Veneto,,www.nopeleather.it
219,Deangelis S.r.l.,35.413,1918,4762,Alimentari & bevande,Lazio,,www.deanocciola.com
220,Proservice S.r.l.r,35.227,2193,5423,Prodotti industriali,Veneto,,www.proservicetech.net
221,Labo.Art S.r.l.,35.208,748,1848,Moda,Lombardia,,www.laboart.com
222,Target S.p.A.,34.259,3245,7853,Alimentari & bevande,Calabria,,www.pizzacalabrisella.it
223,Deus Technology S.r.l.,34.21,1705,4121,Servizi finanziari,Lombardia,,www.deustechnology.com
224,Blaskem S.r.l.,34.143,8953,21612,Chimica,Lombardia,,www.blaskem.com
225,Soc. El.C.I. Impianti S.r.l.,33.796,3144,7530,Telecomunicazioni,Campania,,www.elci.it
226,Centro Ortopedico Ferranti S.r.l.,33.712,1295,3097,Sanità,Sicilia,,www.ortopediaferranti.it
227,Lipari Consulting & Co S.r.l.,33.513,1914,4556,Consulenza aziendale,Lombardia,,www.lipariconsulting.com
228,Le Voliere S.r.l.,33.39,632,1500,E-commerce,Piemonte,,www.levoliere.com
229,Brand Id S.r.l.,33.377,3612,8571,Consulenza aziendale,Lazio,,www.brandid.it
230,Agenzia Formativa Dante Alighieri S.r.l. Unipersonale,33.098,1295,3054,Istruzione & formazione,Veneto,,www.didatticagenzialighieri.it
231,Milano Costruzioni S.r.l.,33.043,710,1672,Immobiliare,Lombardia,,www.milanocostruzioni.srl
232,GVA Redilco S.r.l.,33.0135,4692,11043,Immobiliare,Lombardia,,www.gvaredilco.it
233,System Mind S.r.l.,32.954,823,1934,Servizi generali,Friuli Venezia Giulia,,www.systemmind.com
234,Absolute S.p.A.,32.911,20678,48550,Prodotti industriali,Emilia Romagna,,www.absoluteyachts.com
235,Flexalighting S.r.l.,32.814,1766,4137,Arredamento,Toscana,,www.flexalighting.net
236,Ivis Technologies S.r.l.,32.667,732,1709,Sanità,Puglia,,www.ivistechnologies.com
237,Challenge Network S.r.l.,32.648,2577,6015,Consulenza aziendale,Lazio,,www.challengenetwork.it
238,Jas S.r.l.,32.148,1300,3000,Prodotti industriali,Emilia Romagna,,www.jassrl.it
239,Mind The Value S.r.l.,32.01,1287,2960,Consulenza aziendale,Lombardia,,www.mindthevalue.com
240,2Win S.r.l.,31.648,1392,3176,Prodotti industriali,Emilia Romagna,,www.eco-shopper.it
241,Bht S.r.l.,31.238,1289,2913,Prodotti industriali,Emilia Romagna,,www.bhtsrl.com
242,Global Sistemi S.r.l.,30.429,947,2101,Tecnologia,Emilia Romagna,,www.globalsistemi.com
243,Immobiliare Green Building S.r.l.,30.366,1011,2240,Costruzioni & impiantistica,Lombardia,,www.immobiliaregreenbuilding.com
244,Interni Navali Genovesi S.r.l.,30.273,765,1691,Prodotti industriali,Liguria,,www.ingweb.it
245,Keytek S.r.l.,30.165,1434,3163,Pubblicità & marketing,Emilia Romagna,,www.keytek.it
246,Joe&Co S.r.l.,29.55,3157,6864,Alimentari & bevande,Veneto,,www.crudolio.it
247,Margherita S.r.l.,29.471,13707,29748,Alimentari & bevande,Veneto,,www.margheritasrl.it
248,Citroglobe S.r.l.,29.302,2224,4807,Alimentari & bevande,Sicilia,,www.citroglobe.com
249,IEC + S.r.l.,29.283,1924,4158,Prodotti industriali,Emilia Romagna,,www.iecplus.com
250,Kilometro Rosso S.p.A.,28.908,1432,3067,Consulenza aziendale,Lombardia,,www.kilometrorosso.com
251,Arkigest S.r.l.,28.477,12885,27326,Servizi generali,Toscana,,www.arkigest.it
252,Gaon S.r.l.,28.388,6110,12930,Bellezza & igiene,Lombardia,,www.mesaudacosmetics.it
253,Ventura Global S.r.l.,28.284,2600,5489,Vendita al dettaglio & all'ingrosso,Veneto,,www.venturaglobal.com
254,Eulab Consulting S.r.l.,28.208,1781,3754,Consulenza aziendale,Lazio,,www.eulabconsulting.it
255,Translated S.r.l.,27.94,8424,17642,Servizi generali,Lazio,,www.translated.net
256,Ferretticasa S.p.A.,27.933,8010,16772,Immobiliare,Lombardia,,www.ferretticasa.it
257,Carlorattiassociati S.r.l.,27.879,1103,2308,Architettura,Piemonte,,www.carloratti.com
258,Ferrutensile S.r.l.,27.775,2550,5319,Vendita al dettaglio & all'ingrosso,Emilia Romagna,,www.ferrutensile.it
259,Farmacia Nuzzazi Di Corso Roma Snc,27.656,772,1606,Farmaceutica,Puglia,,www.farmaciacorsoroma.it
260,Mentor S.r.l.,27.455,1486,3078,E-commerce,Emilia Romagna,,www.mentormaterassi.it
261,Modo Eyewear,27.429,3765,7789,Moda,Lombardia,,www.modo.com
262,Italfrom S.r.l.,27.41,1744,3608,E-commerce,Campania,,www.italfrom.com
263,Aumatech,27.372,2371,4899,Prodotti industriali,Abruzzo,,www.aumatech.it
264,Molino Filippini S.r.l.,27.052,4297,8812,Alimentari & bevande,Lombardia,,www.molinofilippini.com
265,Alustrategy S.r.l.,26.581,3130,6348,Prodotti industriali,Piemonte,,www.alustrategy.eu
266,Bodrato Ciocciolato S.r.l.,26.578,1196,2426,Alimentari & bevande,Piemonte,,www.bodratocioccolato.it
